method;alpha;h;stability;reconstruction_error
euler;0.5;0.01;1.1194324493408203;3.0276871711976128e-06
euler;0.5;0.05;1.1250413656234741;2.980232238769531e-07
euler;0.5;0.1;1.1320794820785522;2.1490760104825313e-07
euler;0.5;0.2;1.1461948156356812;0.0
euler;1.0;0.01;1.1236380338668823;2.645533186296234e-06
euler;1.0;0.05;1.1463013887405396;4.214684850012418e-07
euler;1.0;0.1;1.1750649213790894;5.960464477539063e-08
euler;1.0;0.2;1.2332136631011963;1.1920928955078125e-07
euler;2.0;0.01;1.140615701675415;6.669331014563795e-06
euler;2.0;0.05;1.2350050210952759;5.960464477539063e-08
euler;2.0;0.1;1.3602592945098877;2.6656007889869215e-07
euler;2.0;0.2;1.620316982269287;3.588674815091508e-07
euler;4.0;0.01;1.2110742330551147;2.5302153972006636e-06
euler;4.0;0.05;1.6549633741378784;5.960464477539063e-08
euler;4.0;0.1;2.3482532501220703;4.915124804938387e-07
euler;4.0;0.2;3.850921392440796;1.3328003944934608e-07
euler;8.0;0.01;1.5381066799163818;2.8808226488763466e-06
euler;8.0;0.05;4.932133674621582;8.392410109081538e-07
euler;8.0;0.1;13.263992309570312;3.816559512870299e-07
euler;8.0;0.2;26.734987258911133;1.4901161193847656e-07
rk2;0.5;0.01;1.1180340051651;4.0846580304787494e-06
rk2;0.5;0.05;1.1180351972579956;5.057621592641226e-07
rk2;0.5;0.1;1.1180427074432373;4.053554221172817e-07
rk2;0.5;0.2;1.1181038618087769;2.1490760104825313e-07
rk2;1.0;0.01;1.1180343627929688;6.6908701228385326e-06
rk2;1.0;0.05;1.1180514097213745;5.066394805908203e-07
rk2;1.0;0.1;1.118173599243164;3.9198835111164954e-07
rk2;1.0;0.2;1.1191524267196655;2.6656007889869215e-07
rk2;2.0;0.01;1.1180366277694702;3.405820052648778e-06
rk2;2.0;0.05;1.1183134317398071;5.057621592641226e-07
rk2;2.0;0.1;1.120271921157837;2.6656007889869215e-07
rk2;2.0;0.2;1.1360085010528564;2.980232238769531e-07
rk2;4.0;0.01;1.1180696487426758;3.731841161425109e-06
rk2;4.0;0.05;1.122514247894287;8.940696716308594e-07
rk2;4.0;0.1;1.1542720794677734;5.470978976518381e-07
rk2;4.0;0.2;1.4266026020050049;2.6656007889869215e-07
rk2;8.0;0.01;1.118606686592102;1.0612304777168902e-06
rk2;8.0;0.05;1.1916844844818115;1.0532496617088327e-06
rk2;8.0;0.1;1.8203339576721191;4.76837158203125e-07
rk2;8.0;0.2;12.641733169555664;2.384185791015625e-07
neural_ode;0.5;0.01;1.1250413656234741;
neural_ode;0.5;0.05;1.1250413656234741;
neural_ode;0.5;0.1;1.1250413656234741;
neural_ode;0.5;0.2;1.1250413656234741;
neural_ode;1.0;0.01;1.1463013887405396;
neural_ode;1.0;0.05;1.1463013887405396;
neural_ode;1.0;0.1;1.1463013887405396;
neural_ode;1.0;0.2;1.1463013887405396;
neural_ode;2.0;0.01;1.2350050210952759;
neural_ode;2.0;0.05;1.2350050210952759;
neural_ode;2.0;0.1;1.2350050210952759;
neural_ode;2.0;0.2;1.2350050210952759;
neural_ode;4.0;0.01;1.6549633741378784;
neural_ode;4.0;0.05;1.6549633741378784;
neural_ode;4.0;0.1;1.6549633741378784;
neural_ode;4.0;0.2;1.6549633741378784;
neural_ode;8.0;0.01;4.932133674621582;
neural_ode;8.0;0.05;4.932133674621582;
neural_ode;8.0;0.1;4.932133674621582;
neural_ode;8.0;0.2;4.932133674621582;
